Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
17557412568,"Feb 28, 2026, 8:13:14 PM",Lunch Run,Run,"",2263,4.90,,,false,,,activities/17557412568.gpx,,,2263.0,1562.0,4903.0,7.68,3.139,11.9,12.1,3.3,15.6,19.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4926.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.167,146.7,,,,4122.0,0.0,,,,3.154,,,,,,,,,,,,""
17499522697,"Feb 23, 2026, 10:14:11 PM",Afternoon Run,Run,"",1706,4.48,,,false,,,activities/17499522697.gpx,,,1706.0,1297.0,4484.6,6.64,3.458,8.9,12.9,2.4,15.3,4.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4488.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.629,119.8,,,,3506.0,0.0,,,,3.461,,,,,,,,,,,,""
17487722802,"Feb 22, 2026, 6:55:33 PM",Morning Run,Run,Huntington is actually nice when ur not just going to the pier,2046,4.87,,,false,,,activities/17487722802.gpx,,,2046.0,1429.0,4869.3,5.08,3.407,22.3,22.3,6.4,15.5,9.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4900.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,791.9,,,,3884.0,0.0,,,,3.429,,,0.0,0.0,,,,0.0,,,,media/EA9ED498-34BA-4A79-BCF4-5B70B3B4F8D3.jpg
17479276320,"Feb 21, 2026, 7:52:28 PM",Dodgers Spartan 5K,Run,Don’t know why it says almost 5 miles but this was so fun! A lot different from the Spartans in the boonies but it was super cool running around the stadium 🤩,5961,7.83,,,false,,,activities/17479276320.gpx,,,5961.0,2673.0,7838.0,18.0,2.932,210.6,215.2,153.8,186.0,49.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,9802.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315,0.0,,,,7646.0,0.0,,,,3.667,,,0.0,0.0,,,,0.0,,,,media/556F0CB8-EC54-4412-8254-C4899CCDB138.jpg
17475974349,"Feb 19, 2026, 12:20:47 AM",Afternoon Run,Run,"",241468,6.63,,,false,,,activities/17475974349.gpx,,,241468.0,1923.0,6629.5,5.98,3.447,122.3,47.2,392.5,475.6,39.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,6676.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,1133.6,,,,5294.0,0.0,,,,3.472,,,,,,,,,,,,""
17445307199,"Feb 17, 2026, 3:59:18 PM",Morning Run,Run,"",116459,3.25,,,false,,,activities/17445307199.gpx,,,116459.0,968.0,3251.9,4.98,3.359,42.2,44.3,396.4,441.5,8.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3302.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,1868.0,,,,2690.0,0.0,,,,3.412,,,,,,,,,,,,""
17410206711,"Feb 15, 2026, 7:03:18 PM",Lunch Run,Run,,1713,3.97,,,false,,,activities/17410206711.fit,,,1713.0,1288.0,3975.9,5.84,3.087,13.7,15.6,3.2,16.9,5.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3991.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.321,0.0,,,,,0.0,,,,3.099,,,,,,,,,,,,""
17333257938,"Feb 8, 2026, 7:07:37 PM",Super Bowl Sunday,Run,My favorite national holiday,1802,3.90,,,false,,,activities/17333257938.fit,,,1802.0,1322.0,3907.4,6.32,2.956,13.6,15.1,3.2,16.9,5.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3922.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.168,0.0,,,,,0.0,,,,2.967,,,0.0,0.0,,,,0.0,,,,""
17242623196,"Jan 31, 2026, 8:10:48 PM",Lunch Run,Run,,1441,3.36,,,false,,,activities/17242623196.fit,,,1441.0,1192.0,3368.3,4.84,2.826,12.1,11.9,3.1,15.5,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.337,150.5,,,,,0.0,,,,2.845,,,,,,,,,,,,""
16928533389,"Jan 3, 2026, 10:32:36 PM",Walk to Caltrain lol,Hike,Go niners,1083,1.50,,,false,,,activities/16928533389.fit,,,1083.0,996.0,1501.9,11.0,1.508,3.8,4.1,25.1,29.6,5.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.387,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,""
